1	<html>@1<br> -Một</html>
đeo đuổi	<html>@đeo đuổi<br>-@đeo đuổi<br>* verb<br>- to pursue; to follow up</html>
đi	<html>@đi<br>-@đi<br>* verb<br>- to go; to walk; to depart<br>=đi đến một nơi nào+to go to a place<br>-To lead; to march; to play<br>=đường này đi đâu+Where does this road lead?</html>
đi biệt	<html>@đi biệt<br>-@đi biệt<br>- Leave forever</html>
đi bộ	<html>@đi bộ<br>-@đi bộ<br>* verb<br>- to walk</html>
đi bộ đội	<html>@đi bộ đội<br>-@đi bộ đội<br>- Join the (communist) army</html>
đi chân	<html>@đi chân<br>-@đi chân<br>- như đi bộ</html>
đi chân đất	<html>@đi chân đất<br>-@đi chân đất<br>- cũng nói đi chân không To go (walk) barefoot</html>
đi chơi	<html>@đi chơi<br>-@đi chơi<br>* verb<br>- to go out, to be out</html>
đi cầu	<html>@đi cầu<br>-@đi cầu<br>- (địa phương) Go to stool</html>
đi củi	<html>@đi củi<br>-@đi củi<br>- Fetch wood (in the forest)</html>
đi dạo	<html>@đi dạo<br>-@đi dạo<br>* verb<br>- to sholl, to go for a walk</html>
đi giải	<html>@đi giải<br>-@đi giải<br>- make water, urinate</html>
đi khỏi	<html>@đi khỏi<br>-@đi khỏi<br>- (địa phương) như đi vắng</html>
đi kiết	<html>@đi kiết<br>-@đi kiết<br>- Be affected by dysentery</html>
đi làm	<html>@đi làm<br>-@đi làm<br>* verb<br>- to go to work ; to go to business</html>
đi lính	<html>@đi lính<br>-@đi lính<br>- (cũ) Go soldiering</html>
đi lại	<html>@đi lại<br>-@đi lại<br>- Be on intimate terms<br>=Hai nhà đi lại với nhau dda(lâu+Both families have long been on intimate terms<br>-Have intimate relation with each other, entertain intimacy with<br>=Họ đi lại với nhau, bất chấp những lời dị nghị+They had intimate relations with each other in defiance of criticismc</html>
đi nghỉ	<html>@đi nghỉ<br>-@đi nghỉ<br>- Take (have) a rest; go to rest<br>-Spend one's holiday<br>=Anh ấy thường đi nghỉ ở Đồ Sơn+He usually spends his holiday at Doson</html>
đi ngoài	<html>@đi ngoài<br>-@đi ngoài<br>- như đi ỉa</html>
đi ngủ	<html>@đi ngủ<br>-@đi ngủ<br>* verb<br>-to go to bed</html>
đi nằm	<html>@đi nằm<br>-@đi nằm<br>- Go to bed, go to rest</html>
đi qua	<html>@đi qua<br>-@đi qua<br>- Pass, go past</html>
đi ra	<html>@đi ra<br>-@đi ra<br>- Go out of one's house<br>-Discharge (from one's bowels)<br>=Đi ra máu To discharge blood (from one's bowels)</html>
đi rửa	<html>@đi rửa<br>-@đi rửa<br>- Get diarrhoea</html>
đi sâu	<html>@đi sâu<br>-@đi sâu<br>- Delve, go deep<br>=Đi sâu vào một vấn đề+To delve into a problem</html>
đi tiêu	<html>@đi tiêu<br>-@đi tiêu<br>- như đi ỉa</html>
đi tiểu	<html>@đi tiểu<br>-@đi tiểu<br>- như đi đái</html>
đi trốn	<html>@đi trốn<br>-@đi trốn<br>* verb<br>-to flee; to fly</html>
đi tu	<html>@đi tu<br>-@đi tu<br>- Take the vow, go into a monastery, go into a nunnerỵ.</html>
đi tuần	<html>@đi tuần<br>-@đi tuần<br>- Go on a round, go on patrol</html>
đi tây	<html>@đi tây<br>-@đi tây<br>- Go west, kick the bucket<br>=Già nua bệnh tật thế mà đi tây cũng phải lúc rồi+It was time he went west, so old and ailing.<br>-(mỉa) Be bust, go to pot</html>
đi tù	<html>@đi tù<br>-@đi tù<br>- Go to prison</html>
đi tơ	<html>@đi tơ<br>-@đi tơ<br>- Mate (a sow)<br>=Cho con lợn cái đi tơ+To mate a sow</html>
đi tướt	<html>@đi tướt<br>-@đi tướt<br>- (nói về trẻ em)</html>
đi tả	<html>@đi tả<br>-@đi tả<br>- Suffer from cholera</html>
đi tắt	<html>@đi tắt<br>-@đi tắt<br>- Take a short-cut</html>
đi vòng	<html>@đi vòng<br>-@đi vòng<br>- Take a roundabout route.ddi`<br>-(thông tục) Testicle, balls (xem sa đì).<br>-(thông tục) Give a talking to, talk to, dress down<br>=Học lười bị thầy giáo đì cho một trận+To be talked to by the teacher for laziness</html>
đi văng	<html>@đi văng<br>-@đi văng<br>- Divan; couch</html>
đi vắng	<html>@đi vắng<br>-@đi vắng<br>- absent<br>=cô ta đi vắng+She is absent from home</html>
đi đày	<html>@đi đày<br>-@đi đày<br>- Be deported, be banished</html>
đi đái	<html>@đi đái<br>-@đi đái<br>- Make water, have a pee</html>
đi đêm	<html>@đi đêm<br>-@đi đêm<br>- Go out of one's house at night<br>=Anh chàng ấy hay đi đêm+That lad often goes out of his house at night</html>
đi đôi	<html>@đi đôi<br>-@đi đôi<br>- Go together, match<br>=Hai cái bình đi đôi với nhau+The two vases match</html>
đi đất	<html>@đi đất<br>-@đi đất<br>- Go (walk) barefoot</html>
đi đời	<html>@đi đời<br>-@đi đời<br>- Go to the dog; go bust<br>=Đi đời nhà ma (thông tục) như đi ddo+`i<br>=Thếla` vốn liếng đi đời nhà ma+So the whole investment went bust</html>
đi đứng	<html>@đi đứng<br>-@đi đứng<br>- Have a gait (in some way)<br>=Đi dứng bệ vệ+To have a stately gait</html>
đinh	<html>@đinh<br>-@đinh<br>* verb<br>- to nail</html>
đinh ba	<html>@đinh ba<br>-@đinh ba<br>- Treident</html>
đinh bạ	<html>@đinh bạ<br>-@đinh bạ<br>- (từ cũ) village's young men's regidter</html>
đinh ghim	<html>@đinh ghim<br>-@đinh ghim<br>- Pin<br>=Gài giấy bằng mái bằng đinh ghim+To fasten papers with pins</html>
đinh hương	<html>@đinh hương<br>-@đinh hương<br>- Close (kind of spice)</html>
đinh khuy	<html>@đinh khuy<br>-@đinh khuy<br>- Ring-headed woodscrew</html>
đinh ốc	<html>@đinh ốc<br>-@đinh ốc<br>* noun<br>- screw</html>
điên	<html>@điên<br>-@điên<br>- Mad, out of one's mind, insane<br>=Nhà thương điên+Alunatic asylum<br>-Rabid<br>=Chó điên+A raid dog</html>
điên cuồng	<html>@điên cuồng<br>-@điên cuồng<br>- Rabid, frenze ied<br>=Hoạt động gây chiến điên cuồng+Frenzied warlike activitives</html>
điên dại	<html>@điên dại<br>-@điên dại<br>- Insane,mad</html>
điên khùng	<html>@điên khùng<br>-@điên khùng<br>- Fly into a rage, be enraged</html>
điên loạn	<html>@điên loạn<br>-@điên loạn<br>- Hysterical; delirious</html>
điên rồ	<html>@điên rồ<br>-@điên rồ<br>- foolish</html>
điên tiết	<html>@điên tiết<br>-@điên tiết<br>- Boil over with anger, foam with rage, fly into a passion</html>
điên điển	<html>@điên điển<br>-@điên điển<br>- Cork<br>=Mũ làm bằng điên điển+A cork sun helmet</html>
điêu	<html>@điêu<br>-@điêu<br>- Prone to lying, untruthful</html>
điêu trá	<html>@điêu trá<br>-@điêu trá<br>- Untruthful and craftly</html>
điếc	<html>@điếc<br>-@điếc<br>- Deaf<br>=Điếc một tai+To deaf of one ear<br>-Stunted<br>=Quả dừa điếc+A stunted coconut<br>-Dud<br>=Đạn điếc+A dud bullet<br>=Pháo điếc không nổ+Dud fire-crackers never explode</html>
điếm	<html>@điếm<br>-@điếm<br>- Observation post, watch-post<br>=Trên đê có rất nhiều điếm+There are many watch-post on the dyke<br>=Gái điếm (nói tắt).+Spruce, smartly dressed<br>=Ăn mặc rất điếm+To be very smartly dressed</html>
điếu	<html>@điếu<br>-@điếu<br>- Pipe, hubble-bubble pipe, hookah<br>=Làm ơn đưa tối cái điếu+Please pass me the hubble-bubble<br>=Điếu thuốc (nói tắt)+Cigarette<br>=Sau mỗi bữa ăn hút một điếu+To smoke a cigarette after each meal<br>-Condole on somebody's death, present condolences on somebody's death<br>=Đi điếu vợ bạn chết+To go and present condolences on the death of a friend's wife</html>
điền	<html>@điền<br>-@điền<br>- (kết hợp hạn chế) Land, field<br>=Thuế điền+Land tax<br>=Sổ điền+Land register<br>=Mặt chữ điền+A quare face<br>-Fill in<br>=Điền vào chỗ trống+To fill in blanks<br>=Điền tên vào giấy in sẵn+To fill in a form</html>
điều	<html>@điều<br>-@điều<br>- Word, sentence<br>=Người khôn mới nói nữa điều cũng khôn (ca dao)+Half a word is enough to betray one's wisdom<br>-Fact, even, occurrence, happening<br>=Vừa rồi đã xảy ra điều gì thế?+Thing, matter<br>=Ca^nnhắc mọi điều+Talking all things in cinsideration<br>-Point, clause<br>=Bản tuyên bố có sáu điều+A ten-cluase treaty<br>-Pretext<br>=Mượn điều+Under (on) the pretext of<br>=Điều ăn tiếng nói+Behaviour (in words, on words and deeds)</html>
điều khoản	<html>@điều khoản<br>-@điều khoản<br>- Clause, provition<br>=Hợp đồng có mười hai điều khoản+A contract with twelve clauses</html>
điều kiện	<html>@điều kiện<br>-@điều kiện<br>- Condition, terms<br>=Đưa ra điều kiện+To lay down conditions (terms)<br>=Trong điều kiện+In the context<br>=Trong điều kiện quốc tế hiện nay+In the context of the present international situational, in the present international conjuncture<br>=Với điều kiện+On condition that, provided that<br>=Tôi sẽ làm việc đó với điều kiện là anh cùng làm+I'll do that job on condition that you do it together with me</html>
điều luật	<html>@điều luật<br>-@điều luật<br>- Article of law</html>
điều tra	<html>@điều tra<br>-@điều tra<br>- Investigate, inquire, take a census of<br>=Điều tra dân số+To take a population census</html>
điều ước	<html>@điều ước<br>-@điều ước<br>- Treaty<br>=Điều ước Ve'c-xay+The Versailles Treaty</html>
điểm	<html>@điểm<br>-@điểm<br>- point, dot<br>=Bản luật có mười điểm+There are ten points in that law<br>=Bức tranh có nhiều điểm đen+On the picture there are many black dots<br>=Đánh quyền thắng+To win on points in boxing<br>=Điểm sôi+boiling-point<br>=Điểm bão hòa+satuaration point<br>=Đường thẳng là khoảng cách ngắn nhất giữa hai điểm.+The shortest distance between two points is a straigth line<br>-Mark<br>=Bài toán của nó được 5 điểm+His mathematics paper got mark 5<br>-Dot</html>
điển	<html>@điển<br>-@điển<br>- Classic reference<br>=Một câu lấy ở điển cũ+A sentence fro an old classic reference.<br>-(thông tục) Like a swell you look!</html>
điển tích	<html>@điển tích<br>-@điển tích<br>- Classic reference<br>=Bài văn hiều điển tích+An essay larded with classic references</html>
điện	<html>@điện<br>-@điện<br>- Eletricity<br>=Máy này chạy bằng điện+This machine is worked by electricity<br>=Nhà máy điện+A power-station<br>-Electric current<br>=Cắt điện+To cut off the electric current<br>=Điện tín (nói tắt)+Telegram, cable<br>=Đánh một bức điện+To sent a telegram<br>-Court Hall (where the throne is)<br>-Temple<br>=Điện đức thánh Trần+The Tran Temple</html>
điện thoại	<html>@điện thoại<br>-@điện thoại<br>- Telephone</html>
điện thoại viên	<html>@điện thoại viên<br>-@điện thoại viên<br>- Telephonist</html>
điện tích	<html>@điện tích<br>-@điện tích<br>- Electric charge</html>
điện từ	<html>@điện từ<br>-@điện từ<br>- Electromagnetic</html>
điện từ học	<html>@điện từ học<br>-@điện từ học<br>- Electromagnetism</html>
điện tử	<html>@điện tử<br>-@điện tử<br>- Electron</html>
điện tử học	<html>@điện tử học<br>-@điện tử học<br>- Electronics</html>
điệp	<html>@điệp<br>-@điệp<br>- (từ cũ) Official message, official letter.<br>-(văn chương,cũ) Butterfly<br>=Mộng điệp+Beautiful dream<br>-Repeat (like a refrain)<br>=Điệp ý+To repeat an idea</html>
điệu	<html>@điệu<br>-@điệu<br>- Figure; carriage.<br>="Nét buồn như cúc, điệu gầy như mai " (Nguyễn Du)<br>-Her face was melancholy like a chrysanthemum anf her firure thin like an apricot spray<br>-Medoly<br>=Một điệu lâm ly+A doleful medoly<br>-Tune,air<br>=Điệu hát hò mái nhì mái đẩy+A baotman's tune<br>=Figune (of dancẹ..).<br>-(thông tục) Mannered, giving oneself fine airs<br>=Cô ta điệu lắm+She gives herself very fine airs<br>-Match off<br>=Điệu tên móc túi về đồn công an.+To march off a pickpocket to a polise-station</html>
đo	<html>@đo<br>-@đo<br>* verb<br>- to measure; to measure of; to measure out<br>=đo một miếng đất+to measure a piece of ground</html>
đo lường	<html>@đo lường<br>-@đo lường<br>- Determine weights and, measures<br>=Đơn vị đo lường+Units of weights and measures<br>=Đo ván+Knocked out (in boxing)<br>=Đo ván ngay sau ba hiệp đầu+To be knocked out right the first three rounds</html>
đo ván	<html>@đo ván<br>-@đo ván<br>- knock-out</html>
đo đạc	<html>@đo đạc<br>-@đo đạc<br>- Survey (land)</html>
đo đất	<html>@đo đất<br>-@đo đất<br>- Measure one's length</html>
đoan	<html>@đoan<br>-@đoan<br>* noun<br>- custom<br>=nhà đoan+custom-house</html>
đoan chính	<html>@đoan chính<br>-@đoan chính<br>* adj<br>- serious; decent</html>
đoan trang	<html>@đoan trang<br>-@đoan trang<br>- Crrect and decent<br>=Ăn nói đoan trang+To be correcr and decentin one's works and deeds</html>
đoan trinh	<html>@đoan trinh<br>-@đoan trinh<br>- Chaste and decent</html>
đoi	<html>@đoi<br>-@đoi<br>- (tục tĩu) Arse</html>
đom đóm	<html>@đom đóm<br>-@đom đóm<br>* noun<br>- Luciola; fire-fly; glow-worm</html>
đon	<html>@đon<br>-@đon<br>- Two gandfuls (of rice plants after reaping)</html>
đong	<html>@đong<br>-@đong<br>* verb<br>- to measure out (corn; etc.); to buy (rice)</html>
đong đưa	<html>@đong đưa<br>-@đong đưa<br>- Shifty, dishonest<br>=Ăn nói đong đưa+Tobe shifty in one's words</html>
đoài	<html>@đoài<br>-@đoài<br>- The eight-sign figuge<br>-Occident, west<br>=Mặt trời đã gác non đoài+The sunhas declined in the west</html>
đoàn	<html>@đoàn<br>-@đoàn<br>* noun<br>- group; party; hand; crops<br>=ngoại giao đoàn+the diplomatic corps</html>
đoàn bộ	<html>@đoàn bộ<br>-@đoàn bộ<br>- Headquarter</html>
đoàn kết	<html>@đoàn kết<br>-@đoàn kết<br>* verb<br>- To unite; to combine<br>=sự đoàn kết+Union</html>
đoàn thể	<html>@đoàn thể<br>-@đoàn thể<br>* noun<br>- organization, union</html>
đoàn trưởng	<html>@đoàn trưởng<br>-@đoàn trưởng<br>- Head delegate, delegation's leader<br>-Commander of a multi-unit group of soldiers</html>
đoàn tụ	<html>@đoàn tụ<br>-@đoàn tụ<br>* noun<br>- reunite</html>
đoàn viên	<html>@đoàn viên<br>-@đoàn viên<br>* noun<br>- member, union member</html>
đoành	<html>@đoành<br>-@đoành<br>- Pop, crack<br>=Tiếng pháo đoành một cái+A fire-cracker popped</html>
đoá	<html>@đoá<br>-@đoá<br>- (usually used in front of a name of nice flower)<br>=Một đóa hoa hồng+A rose<br>=Một đóa hồng nhan (văn chương)+A beautiful girl a pair</html>
đoái	<html>@đoái<br>-@đoái<br>- Remember with longing<br>- Condenscend. deign<br>=Đoái thương+To condescendingly show compassion (for someone)</html>
đoái tưởng	<html>@đoái tưởng<br>-@đoái tưởng<br>* verb<br>- to think of</html>
đoán	<html>@đoán<br>-@đoán<br>* verb<br>- to guess; to conjecture; to divine</html>
đoán chừng	<html>@đoán chừng<br>-@đoán chừng<br>- Infer (fro what is known)<br>=Cũng đoán chừng thế thôi, chưa chắc đã đúng+To infer a conclusion just like that without any certainly of correctness<br><br>@<br>- đoán định<br>-Udge and decide<br>=Giữ toàn quyền đoán định+To hold a full right to udge ad decide</html>
đoán già	<html>@đoán già<br>-@đoán già<br>- Make a positive affirmation o uncertainn grounds<br>=Tuy chưa biết gì chắc chắn về việc đó, nhưng cũng cứ đoán già+To make a positive affirmation on something one has not got any factual information<br><br>=Đoán già đoán non+To make a sheer conecture</html>
đoán mò	<html>@đoán mò<br>-@đoán mò<br>- Guess willdy</html>
đoán phỏng	<html>@đoán phỏng<br>-@đoán phỏng<br>- Conecture<br>=Thiếu số liệu cụ thể đành phải đoán phỏng+To have to conecture (to be reduced to conecture) for lack of concrete date</html>
đoán trước	<html>@đoán trước<br>-@đoán trước<br>* verb<br>- to foretell; to foresee; to anticipate</html>
đoạn	<html>@đoạn<br>-@đoạn<br>* noun<br>- Section; pant ; portion; passage; Paragraph<br>* verb<br>- To cut</html>
đoạn hậu	<html>@đoạn hậu<br>-@đoạn hậu<br>- Attack in the rear</html>
